name,region,type,budget_range,best_season,tags
Goa,West,Beach,Medium,Winter,beach nightlife water-sports
Manali,North,Hill Station,Low,Summer,trekking snow adventure
Udaipur,West,Historical,Medium,Winter,forts lakes history
Mysore,South,Cultural,Low,All,temples heritage palace
Darjeeling,East,Hill Station,Low,Summer,tea trekking scenic
Leh,North,Adventure,Medium,Summer,mountains biking trekking
Rishikesh,North,Spiritual,Low,All,yoga river rafting meditation
Pondicherry,South,Beach,Low,Winter,french-colony beach calm
Andaman,East,Beach,High,Winter,islands snorkeling scuba-diving
Rajasthan,West,Desert,Medium,Winter,camels forts sand-dunes
Shimla,North,Hill Station,Low,Summer,snow colonial cool
Coorg,South,Hill Station,Low,Monsoon,coffee greenery scenic
Agra,North,Historical,Low,All,taj-mahal mughal history
Varanasi,North,Spiritual,Low,All,ganga temples rituals
Kodaikanal,South,Hill Station,Low,Summer,lakes nature trails
Ooty,South,Hill Station,Low,Summer,botanical gardens toy-train
Kolkata,East,Cultural,Medium,Winter,colonial durga-puja sweets
Bangalore,South,City,Medium,All,gardens nightlife tech
Hyderabad,South,Historical,Medium,Winter,biryani forts charminar
Chennai,South,City,Medium,Winter,beach temples culture
Munnar,South,Hill Station,Low,Monsoon,tea plantations eco
Alleppey,South,Backwaters,Medium,Winter,houseboats lagoons calm
Jaisalmer,West,Desert,Medium,Winter,forts desert-camping camel
Jaipur,West,Historical,Medium,Winter,palaces forts pink-city
Ranthambore,North,Wildlife,High,Winter,tiger-safari jungle
Kaziranga,East,Wildlife,High,Winter,rhinos elephants national-park
Sikkim,East,Hill Station,Medium,Summer,monasteries snow peace
Auli,North,Skiing,Medium,Winter,snow skiing slopes
Nainital,North,Hill Station,Low,Summer,lake boating shopping
Lucknow,North,Cultural,Low,Winter,nawabi food monuments
Bikaner,West,Desert,Medium,Winter,forts sweets camels
Haridwar,North,Spiritual,Low,All,ganga aarti temples
Tawang,North-East,Hill Station,Medium,Summer,monasteries peace snow
Cherrapunji,North-East,Scenic,Low,Monsoon,rainfalls caves bridges
Meghalaya,North-East,Scenic,Low,Monsoon,greenery clouds culture
Rameswaram,South,Spiritual,Low,Winter,temple bridge pilgrimage
Gokarna,South,Beach,Low,Winter,beaches calm temples
Lonavala,West,Hill Station,Low,Monsoon,lakes forts greenery
Mahabaleshwar,West,Hill Station,Low,Monsoon,strawberries views cool
Srinagar,North,Scenic,High,Summer,houseboats snow gardens
Hampi,South,Historical,Low,Winter,ruins temples architecture
Nagpur,Central,City,Low,Winter,oranges wildlife temples
Pune,West,City,Medium,All,tech education hills
Bhopal,Central,City,Low,Winter,lakes heritage
Mount Abu,West,Hill Station,Low,Summer,temple views peace
Ajanta-Ellora,West,Historical,Medium,Winter,caves carvings heritage
Lakshadweep,South,Beach,High,Winter,islands coral scuba
Ziro Valley,North-East,Scenic,Medium,Summer,music tribes nature
Madurai,South,Cultural,Low,Winter,temples culture food
Kanyakumari,South,Scenic,Low,Winter,sunset beach temples
